d_1;score;Hotels;distance_from_sea;Companies;Houses;mun_category;Airports;Finance;CO2(tons/km^2);Evcs;Gas
ΔΗΜΟΣ ΠΛΑΤΑΝΙΑ;1;13918;7208;1475;8;2;0;59548.113;228.9872096;11;1.915
ΔΗΜΟΣ ΣΦΑΚΙΩΝ;1;460;6578;191;10;1;1;7742.8096;31.20711268;0;1.965
ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ;1;0;62457;387;19;1;0;20446.45;35.57875694;6;1.865
ΔΗΜΟΣ ΒΟΛΒΗΣ;2;0;17232;1577;83;2;0;58265.773;158.9322565;18;1.900
ΔΗΜΟΣ ΚΟΡΔΕΛΙΟΥ - ΕΥΟΣΜΟΥ;3;0;3452;8392;4200;4;0;310050.88;49419.69967;102;1.749
ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ;1;0;17398;2633;315;2;0;112617.17;446.7679633;37;1.789
ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ;2;7697;14057;2327;159;2;0;62788.934;184.0273146;20;1.825
ΔΗΜΟΣ ΜΥΤΙΛΗΝΗΣ;3;4869;1855;4627;324;2;2;253442.3;642.2435765;56;1.775
ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΛΕΣΒΟΥ;2;2086;2596;1966;138;2;1;107764.62;145.7647707;17;1.825
ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ;2;0;37480;838;2;2;0;57402.16;92.4872651;15;1.884
ΔΗΜΟΣ ΠΑΡΑΝΕΣΤΙΟΥ;2;0;42496;207;1;1;0;10954.964;16.15573081;2;1.881
ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ;3;190;16495;2965;1305;4;0;76275.48;55271.39468;29;1.738
ΔΗΜΟΣ ΜΕΤΑΜΟΡΦΩΣΕΩΣ;3;214;15051;2886;1252;4;0;74242.84;40104.48117;22;1.758
ΔΗΜΟΣ ΝΕΑΣ ΙΩΝΙΑΣ;1;0;12591;6133;3229;4;0;157755.58;109007.4773;57;1.758
